index,record,family.income,NLKH.income,plant,plant.type,intercropping,area,plant.number,plant.year,yield,plant.price,income.individual,income.total,fer.annual,chem.annual,labor.annual,harvest.annual,cost.indi,cost.total,seedling.ini,fer.ini,chem.ini,labor.ini,cost.ini.indi,cost.ini.total,harvest.time
82,2112,36,10,ngai bun,rau,1,0.25,,,,20,,,0,0,home,0,0,,0,0,0,home,,,9 10 11 12
83,2113,,,keo,ln,1,0.25,,1980,,,,,0,0,home,0,0,,0,0,0,home,,,
83,2113,,,tam vong,ln,1,0.25,,1997,,,,,,,home,,,,,,,home,,,
84,2114,30,30,tam vong,ln,1,1.5,100,,,6,,30,,,home,,,3,,,,home,,,
84,2114,30,30,gio bau,ln,1,1.5,700,2001,,400,,30,,,home,,,3,,,,home,,,0
84,2114,30,30,vu sua,aq,1,1.5,30,1997,,,,30,,,home,,,3,,,,home,,,2
84,2114,30,30,xoai c,aq,1,1.5,200,2017,,,,30,,,home,,,3,,,,home,,,
84,2114,30,30,nghe,dl,1,1.5,,,,7,,30,,,home,,,3,,,,home,,,0
84,2114,30,30,ngai bun,rau,1,1.5,,,,20,,30,,,home,,,3,,,,home,,,0
84,2114,30,30,tieu,dl,1,1.5,700,,,120,,30,,,home,,,3,,,,home,,,1
85,2115,30,10,nghe,dl,1,2.18,,,,,,10,,,home,,,,,,,home,,,
85,2115,30,10,ngai bun,rau,1,2.18,,,,,,10,,,home,,,,,,,home,,,
85,2115,30,10,buoi,aq,1,2.18,50,2018,0,,,10,,,home,,,,1.25,,,home,,,
85,2115,30,10,bo,aq,1,2.18,50,2018,0,,,10,,,home,,,,1,,,home,,,
85,2115,30,10,gio bau,ln,1,2.18,50,2008,,,,10,,,home,,,,,,,home,,,
85,2115,30,10,sao,ln,1,2.18,50,2008,,,,10,,,home,,,,,,,home,,,
85,2115,30,10,tram,ln,1,2.18,50,2008,,,,10,,,home,,,,,,,home,,,
85,2115,30,10,tam vong,ln,1,2.18,50,2008,,,,10,,,home,,,,,,,home,,,
86,2116,50,33,dao,ln,1,2.35,40,1997,,25,,33,,,home,,,3,,,,home,,1 2 3 ,
86,2116,50,33,vu sua,aq,1,2.35,14,1980,,6,,33,,,home,,,3,,,,home,,2,
86,2116,50,33,sau rieng,aq,1,2.35,10,2019,,,,33,,,home,,,3,0.5,,,home,,,
86,2116,50,33,bo,aq,1,2.35,20,2019,0,,,33,,,home,,,3,0.4,,,home,,,
86,2116,50,33,cam,aq,1,2.35,20,2016,,,,33,,,home,,,3,0.4,,,home,,1 12,
86,2116,50,33,mit,aq,1,2.35,10,2019,,,,33,,,home,,,3,0.25,,,home,,,
86,2116,50,33,tam vong,ln,1,2.35,40,,,,,33,,,home,,,3,,,,home,,,
87,2117,80,70,bo,aq,1,2.1,20,1999,,,,70,,,home,,,15,5 6,,,home,,,5 6
87,2117,80,70,vu sua,aq,1,2.1,4,2000,,,,70,,,home,,,15,2,,,home,,,2
87,2117,80,70,cam,aq,1,2.1,,2015,,,,70,,,home,,,15,,,,home,,,
87,2117,80,70,buoi,aq,1,2.1,,2015,0,,,70,,,home,,,15,,,,home,,,
87,2117,80,70,sau rieng,aq,1,2.1,,2015,,,,70,,,home,,,15,,,,home,,,6 7
87,2117,80,70,sao,ln,1,2.1,,,,,,70,,,home,,,15,,,,home,,,
87,2117,80,70,dau rong,rau,1,2.1,8,,,,,70,,,home,,,15,6 7,,,home,,,
45,2204,,30,tam vong,ln,1,,,,,30,30,30,,,home,,30,,,,,home,,,
45,2204,,30,xoai,aq,1,,,,,,,30,,,home,,,,,,,home,,,
45,2204,,30,vu sua,aq,1,,,,,,,30,,,home,,,,,,,home,,,
46,2205,,70,tam vong,ln,0,1,,2000,,,,70,,,home,,70,,,,,home,,,
47,2206,60,5,xoai,aq,1,1,,1974,2,2.5,5,5,,,home,,,,,,,home,,,
47,2206,60,5,mit,aq,1,1,,1974,,,,5,,,home,,,,,,,home,,,
47,2206,60,5,vu sua,aq,1,1,,,,,,5,,,home,,,,,,,home,,,
47,2206,60,5,sao,ln,1,1,,1998,,,,5,,,home,,,,,,,home,,,
48,2207,80,20,tam vong,ln,1,0.8,,2015,,,14,20,,,home,,,,,,,home,,,
48,2207,80,20,ngai bun,rau,1,0.8,,2006,,,6,20,,,home,,,,,,,home,,,
49,2208,,11,tam vong,ln,1,0.6,,1975,,,8,8,,,home,,,,,,,home,,,10 11
49,2208,,11,xoai,aq,1,0.6,,1975,,,3,3,,,home,,,,,,,home,,,
50,2209,100,30,xoai c,aq,1,4,200,1997,4,,,,,,home,,11,,,,,home,,,4 5 6 7
50,2209,100,30,buoi,aq,1,4,300,2015,0,,,,,,home,,,,,,,home,,,
52,2209,100,30,rau,rau,1,1,,,6,,,,,,home,,,,,,,home,,,
52,2209,100,30,nghe,dl,1,1,,,5,,,,,,home,,,,,,,home,,,
53,2210,75,20,xoai c,aq,1,1,25,,,25,,20,,,home,,,,,,,home,,,6 7
53,2210,75,20,mang cau,aq,1,1,7,,,7,,20,,,home,,,,,,,home,,,8
53,2210,75,20,tam vong,ln,1,1,,,,,,20,,,home,,,,,,,home,,,
54,2211,,,bo,aq,1,1,200,2000,4,20,60,60,,,home,,10,10,,,,home,,,5 6 7
54,2211,,,gio bau,ln,1,1,,,,,0,60,,,home,,0,10,,,,home,,,
54,2211,,,sau rieng,aq,1,1,,,,,0,60,,,home,,0,10,,,,home,,,
88,2309,72,12,sao,ln,1,1.33,40,1998,0,1000,,12,0,0,home,0,,0,0,0,0,home,0,0,
88,2309,,,tam vong,ln,1,1.33,2100,1989,1000,18,12,12,0,0,home,0,,0,0,0,0,home,0,0,11
89,2310,120,35,mit,aq,1,1.4,20,,1,3,3,10.5,0.7,0,home,,0.7,1.05,0,0.7,0,home,,2.1,4
89,2310,120,35,nghe,dl,1,1.4,,2015,1,8,7.5,10.5,0.35,0,home,,0.35,1.05,0,0.35,0,home,,2.1,8
90,2310,120,35,vu sua,aq,1,1.3,20,2015,2,6,12,24.5,0.7,0,home,,0.7,1.05,0,0.7,0,home,,2.1,4
90,2310,120,35,ngai bun,rau,1,1.3,,2015,0.5,25,12.5,24.5,0.35,0,home,,0.35,1.05,0,0.35,0,home,,2.1,9
91,2311,84,6,mit,aq,1,1,50,2009,,,0,6,,,home,0,,6.9,,,,home,,,
91,2311,84,6,tam vong,ln,1,1,1500,2000,500,12,6,6,,,home,3,,6.9,,,,home,,,11
92,2312,18,5,tam vong,ln,2,0.3,6000,1989,500,10,5,5,1,,1,,2,2,,,,home,,,11
93,2313,,,,,,,,,,,,,,,home,,,,,,,home,,,
94,2314,70,70,buoi,aq,1,3.6,1000,2009,1.5,40,30,70,,,home,3,,21,20,4,5,4,33,75,2
94,2314,70,70,xoai c,aq,1,3.6,150,2009,3,20,40,70,,,home,5,,21,25,3,10,4,42,75,5
95,2315,144,14,tam vong,ln,1,0.8,2000,1984,150,17,3,13,,,home,,,1.25,,,,home,,2.45,8
95,2315,144,14,chuoi,aq,1,0.8,100,2016,240,,10,13,,,home,,,1.25,,,,home,,2.45,13
96,2315,144,14,tam vong,ln,1,0.2,800,1984,40,17,1,1,,,home,,,0.9,,,,home,,2.55,8
96,2315,144,14,nghe,dl,1,0.2,1500,2017,,7,,1,,,home,,,0.9,,,,home,,2.55,10
97,2316,76,15,sau rieng,aq,1,0.6,50,2009,0.4,70,15,15,2,3,home,home,5,7.75,8,2,3,home,13,17.75,6
97,2316,76,15,bo,aq,1,0.6,40,2018,0,,,15,0.75,2,home,0,2.75,7.75,2,0.75,2,home,4.75,17.75,
98,2317,290,,toc,ln,1,4,6000,1996,1300,200,220,220,4.2,0.6,home,,4.8,4.8,0,,,home,,5.5,
98,2317,220,,mit,aq,1,4,500,1996,,2,,220,,,home,,,4.8,0,,,home,,5.5,
