"model.total","plant.total","model1.area","model1.main1","model1.main.group1","model1.main1.number","model1.main1.number.unit","model1.main1.year","model1.main1.yield","model1.main1.yield.unit","model1.main2","model1.main2.number","model1.main2.year","model1.main2.yield","model1.main2.yield.unit","model1.intercrop1","model1.intercrop.group1","model1.intercrop1.number","model1.intercrop1.number.unit","model1.intercrop1.year","model1.intercrop1.yield","model1.intercrop1.yield.unit","model1.intercrop2","model1.intercrop2.number","model1.intercrop2.year","model1.intercrop2.yield","model1.intercrop2.yield.unit","model1.intercrop3","model1.intercrop3.number","model1.intercrop3.year","model1.intercrop3.yield","model1.intercrop3.yield.unit","model1.intercrop4","model1.intercrop4.number","model1.intercrop4.year","model1.intercrop4.yield","model1.intercrop4.yield.unit","model1.intercrop5","model1.intercrop5.number","model1.intercrop5.year","model1.intercrop5.yield","model1.intercrop5.yield.unit","model1.intercrop6","model1.intercrop6.number","model1.intercrop6.year","model1.intercrop6.yield","model1.intercrop6.yield.unit","model1.plant.formula.x","model1.soil.characteristic","model1.land.slope","model1.water","model1.income.main.2018","model1.income.intercrop.2018","model1.cost.main.2018","model1.cost.intercrop.2018","model1.income.2018","model1.cost.2018","model1.profit.2018","model1.plant.formula.y","model2.area","model2.main1","model2.main1.number","model2.main1.year","model2.main1.yield","model2.main1.yield.unit","model2.intercrop1","model2.intercrop1.number","model2.intercrop1.year","model2.intercrop1.yield","model2.intercrop1.yield.unit","model2.intercrop2","model2.intercrop2.number","model2.intercrop2.year","model2.intercrop2.yield","model2.intercrop2.yield.unit","model2.intercrop3","model2.intercrop3.number","model2.intercrop3.year","model2.intercrop3.yield","model2.intercrop3.yield.unit"
1,3,0.55,"TRE (MANG)","TP(M)",60,"BUI",1999,3,"TAN",NA,NA,NA,NA,NA,"SAU RIENG","AQ",45,NA,2009,6,"TAN","CAM, QUYT",30,2010,900,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC IT","CO NUOC",20,50,3,10,70,13,57,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0.6,"TRE (MANG)","TP(M)",70,"BUI",2002,1,"TAN",NA,NA,NA,NA,NA,"CHOM CHOM","AQ",40,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC VUA","CO NUOC",20,NA,5,NA,20,5,15,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0.72,"TRE (MANG)","TP(M)",100,"BUI",1994,200,"KG",NA,NA,NA,NA,NA,"BO","AQ",25,NA,2013,100,"KG","MANG CAU",4,2012,50,"KG","SAU RIENG",7,2012,100,"KG","QUYT",500,2017,NA,NA,"DUA",10,2017,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC CAO","CO NUOC",14,7,1,2,21,3,18,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,2,"TRE (MANG)","TP(M)",300,"CAY",2001,10,"TAN","MIT",100,1980,0,NA,"BO","AQ",60,NA,2001,500,"KG","SAU RIENG",40,2001,0,NA,"CAM, QUYT",400,2001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC VUA","THIEU NUOC",30,5,2,3,35,5,30,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.3,"GIANG HUONG","LN",30,"CAY",2019,NA,NA,"TRE (MANG)",50,2013,350,"KG","BO","AQ",10,NA,2009,50,"KG","TIEU",10,2013,2.5,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT CAT PHA","DOC CAO","THIEU NUOC",5,1,NA,NA,6,0,6,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0.2,"TRE (MANG)","TP(M)",25,"BUI",1995,200,"KG",NA,NA,NA,NA,NA,"SABOCHE","AQ",10,NA,2002,100,"KG","BUOI",20,2009,NA,NA,"CAM, QUYT",100,2009,200,"KG","BO",20,2015,NA,NA,"DAU",20,2015,200,"KG",NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC VUA","THIEU NUOC",12,7,NA,NA,19,0,19,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0.1,"TRE (MANG)","TP(M)",55,"BUI",1999,200,"KG",NA,NA,NA,NA,NA,"BO","AQ",10,NA,2015,1.5,"TAN","TIEU",15,2015,8.5,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC IT","THIEU NUOC",50,10,5,3,60,8,52,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,7.65,"SAO DEN","LN",500,"CAY",1997,NA,NA,"TRE (MANG)",500,1997,5,"TAN","DAU DA","AQ",100,NA,2014,550,"KG","BO",200,2014,500,"KG","TIEU",200,1997,120,"KG","KHOAI LUN",NA,2015,500,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT LAN DA","DOC IT","CO NUOC",15,23,1.5,2.5,38,4,34,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.4,"TRE (MANG)","TP(M)",30,"CAY",1990,1,"TAN","SU",40,2000,1,"TAN","MIT","AQ",20,NA,2000,800,"KG","DAU DA",20,2000,1,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","THIEU NUOC",25,30,2,5,55,7,48,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,1,"GIANG HUONG","LN",635,"CAY",2000,NA,NA,NA,NA,NA,NA,NA,"SO RI","AQ",80,NA,2005,80,"KG","DINH LANG",4000,2015,NA,NA,"TRE (MANG)",200,2000,3,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT CAT PHA","DOC VUA","THIEU NUOC",5,10,3,3,15,6,9,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
